goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkOrs/two-by-two-128                     	    1378	   1046481 ns/op	  113073 B/op	    3495 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 4066766	       130.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 3862176	       131.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 4509361	       132.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 3904864	       130.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 4886275	       127.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 4542786	       129.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 3898448	       130.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnionRoaring-128                       	    1195	    499876 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1177	    506879 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1194	    494985 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1158	    493972 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1131	    509603 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1238	    496229 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1167	    512988 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1131	    495183 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000006 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000005 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000020 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000028 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000027 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000040 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000033 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000031 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000036 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000036 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000037 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000036 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000036 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000035 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000042 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000036 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000034 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000034 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000034 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000046 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000058 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000062 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000073 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000059 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000066 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000062 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000067 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000062 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000065 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000059 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000065 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000060 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000116 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000109 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000113 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000116 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000111 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000113 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000114 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000111 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000115 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000118 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000119 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000114 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000115 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000117 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000113 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000115 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000207 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000206 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000208 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000204 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000207 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000203 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000249 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000202 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000225 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000213 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000217 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000218 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000217 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000216 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000217 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000215 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000418 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000467 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000422 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000429 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000371 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000387 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000373 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000381 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000425 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000419 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000476 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000472 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000423 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000506 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000515 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000422 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000711 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000957 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000813 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000784 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000637 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0001035 ns/op	       0 B/op	       0 allocs/op
