goos: linux
goarch: amd64
pkg: github.com/RoaringBitmap/roaring/v2
cpu: INTEL(R) XEON(R) GOLD 6548N
BenchmarkOrs/two-by-two-128                     	    1282	   1070574 ns/op	  113181 B/op	    3500 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5878593	       103.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 6309495	       101.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5884058	       103.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5869921	       100.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5852536	       100.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5869839	       100.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5872472	       104.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntersectionCardinalityRoaring-128     	 5874765	       100.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnionRoaring-128                       	    1176	    500954 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1173	    503444 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1186	    499382 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1216	    494611 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1162	    503442 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1180	    493973 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1243	    507389 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkUnionRoaring-128                       	    1252	    513206 ns/op	  277368 B/op	    3086 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000006 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1-128                	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000006 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1-128     	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000095 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000007 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000008 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000005 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4-128     	1000000000	         0.0000020 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-8-128                	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000011 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-8-128     	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000010 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-16-128               	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000014 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000009 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000017 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000012 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-16-128    	1000000000	         0.0000016 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000022 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000018 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000013 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-32-128               	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000015 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-32-128    	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000031 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000028 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000024 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000019 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-64-128               	1000000000	         0.0000027 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000032 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000026 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000025 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-64-128    	1000000000	         0.0000021 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000035 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000034 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000027 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000029 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000023 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000030 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000028 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-128-128              	1000000000	         0.0000032 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000041 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000040 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-128-128   	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000043 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000033 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000040 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000035 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000039 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000038 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-256-128              	1000000000	         0.0000036 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000063 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000066 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000059 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000060 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000058 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000059 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-256-128   	1000000000	         0.0000064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000066 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000063 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000060 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000063 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000062 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000064 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000059 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-512-128              	1000000000	         0.0000061 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000121 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000112 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000108 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000109 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000113 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000109 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000112 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-512-128   	1000000000	         0.0000113 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000115 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000119 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000116 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000114 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000114 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000115 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000112 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-1024-128             	1000000000	         0.0000117 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000202 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000253 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000201 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000197 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000198 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000201 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000199 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-1024-128  	1000000000	         0.0000202 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000228 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000219 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000259 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000221 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000215 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000278 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000262 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-2048-128             	1000000000	         0.0000229 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000421 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000501 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000370 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000371 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000368 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000369 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000417 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-2048-128  	1000000000	         0.0000421 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000425 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000423 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000520 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000542 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000593 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000424 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000420 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-4096-128             	1000000000	         0.0000516 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000916 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000849 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000687 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000855 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000950 ns/op	       0 B/op	       0 allocs/op
BenchmarkChecksum/checksum-compressed-4096-128  	1000000000	         0.0000835 ns/op	       0 B/op	       0 allocs/op
